country,first_year_train,last_year_train,sex,max_age,nn_layers,latent_dim,forecast_horizon,log_score,date,time
sweden,1934,1993,Male,100,1,2,2,478.5095348972348,06/02/2023,08:40:23
sweden,1934,1993,Male,100,1,2,3,512.4153826105795,06/02/2023,08:40:23
sweden,1934,1993,Male,100,1,2,4,523.6355591845538,06/02/2023,08:40:23
sweden,1934,1993,Male,100,1,2,5,544.3474096047879,06/02/2023,08:40:23
sweden,1934,1993,Male,100,1,2,6,556.7132768445093,06/02/2023,08:40:23
sweden,1934,1993,Male,100,1,2,7,608.9139177600872,06/02/2023,08:40:23
sweden,1934,1993,Male,100,1,2,8,628.0362204471146,06/02/2023,08:40:23
sweden,1934,1993,Male,100,1,2,9,636.5389790848035,06/02/2023,08:40:23
sweden,1934,1993,Male,100,1,2,10,634.0378329848262,06/02/2023,08:40:23
sweden,1934,1993,Male,100,1,3,1,461.6264938960306,06/02/2023,18:04:38
sweden,1934,1993,Male,100,1,3,2,437.34734942029075,06/02/2023,18:04:38
sweden,1934,1993,Male,100,1,3,3,451.7744860748212,06/02/2023,18:04:38
sweden,1934,1993,Male,100,1,3,4,458.85608723584323,06/02/2023,18:04:38
sweden,1934,1993,Male,100,1,3,5,455.69021503950785,06/02/2023,18:04:38
sweden,1934,1993,Male,100,1,3,6,463.6721425304259,06/02/2023,18:04:38
sweden,1934,1993,Male,100,1,3,7,495.6586634530726,06/02/2023,18:04:38
sweden,1934,1993,Male,100,1,3,8,499.099369362669,06/02/2023,18:04:38
sweden,1934,1993,Male,100,1,3,9,501.72854055811604,06/02/2023,18:04:38
sweden,1934,1993,Male,100,1,3,10,497.61852879014486,06/02/2023,18:04:38
sweden,1934,1993,Male,100,1,4,1,448.30096976635747,06/02/2023,18:29:28
sweden,1934,1993,Male,100,1,4,2,433.5494226730299,06/02/2023,18:29:28
sweden,1934,1993,Male,100,1,4,3,444.5484831338571,06/02/2023,18:29:28
sweden,1934,1993,Male,100,1,4,4,453.3202698612771,06/02/2023,18:29:28
sweden,1934,1993,Male,100,1,4,5,458.78947949489816,06/02/2023,18:29:28
sweden,1934,1993,Male,100,1,4,6,463.2561213011032,06/02/2023,18:29:28
sweden,1934,1993,Male,100,1,4,7,489.73520369964467,06/02/2023,18:29:28
sweden,1934,1993,Male,100,1,4,8,489.62760986084396,06/02/2023,18:29:28
sweden,1934,1993,Male,100,1,4,9,498.6401544967643,06/02/2023,18:29:28
sweden,1934,1993,Male,100,1,4,10,498.1511832461584,06/02/2023,18:29:28
sweden,1934,1993,Male,100,1,5,1,442.42843649923054,06/02/2023,18:40:40
sweden,1934,1993,Male,100,1,5,2,433.91031013869343,06/02/2023,18:40:40
sweden,1934,1993,Male,100,1,5,3,442.07999174486656,06/02/2023,18:40:40
sweden,1934,1993,Male,100,1,5,4,453.77114141933214,06/02/2023,18:40:40
sweden,1934,1993,Male,100,1,5,5,462.70510960658373,06/02/2023,18:40:40
sweden,1934,1993,Male,100,1,5,6,468.9053923279612,06/02/2023,18:40:40
sweden,1934,1993,Male,100,1,5,7,490.9589011846587,06/02/2023,18:40:40
sweden,1934,1993,Male,100,1,5,8,493.94081604309264,06/02/2023,18:40:40
sweden,1934,1993,Male,100,1,5,9,501.3819698050967,06/02/2023,18:40:40
sweden,1934,1993,Male,100,1,5,10,502.8599327368633,06/02/2023,18:40:40
sweden,1934,1993,Male,100,1,6,1,446.0306198113506,06/02/2023,18:42:24
sweden,1934,1993,Male,100,1,6,2,437.97845217696425,06/02/2023,18:42:24
sweden,1934,1993,Male,100,1,6,3,448.64209399942825,06/02/2023,18:42:24
sweden,1934,1993,Male,100,1,6,4,459.716045590155,06/02/2023,18:42:24
sweden,1934,1993,Male,100,1,6,5,461.5618108131149,06/02/2023,18:42:24
